Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09 00:00:00-04:00,180.12010837438186,182.706936794211,179.4111197061566,181.84466552734375,29783900,0.0,0.0
2020-06-10 00:00:00-04:00,183.1189380450573,190.1991913062643,183.00395781148964,188.589599609375,43872300,0.0,0.0
2020-06-11 00:00:00-04:00,185.0350998520521,187.55485535553444,178.27101700535871,178.46263122558594,52854700,0.0,0.0
2020-06-12 00:00:00-04:00,182.55361479083015,183.6841633450866,177.4182756432563,179.87098693847656,43373600,0.0,0.0
2020-06-15 00:00:00-04:00,176.8434521319893,182.82191188812118,176.29733629086138,181.0207061767578,32770200,0.0,0.0
2020-06-16 00:00:00-04:00,184.805128718821,187.38238129288425,183.43507334347268,185.45663452148438,42556700,0.0,0.0
2020-06-17 00:00:00-04:00,186.85545304847912,188.09139178921902,185.57162171808363,186.09857177734375,25687800,0.0,0.0
2020-06-18 00:00:00-04:00,185.86858896933848,188.25422715253592,185.86858896933848,188.0913543701172,23061600,0.0,0.0
2020-06-19 00:00:00-04:00,190.2662302616709,190.93688730881695,186.2231075527269,186.9704132080078,44441100,0.0,0.0
2020-06-22 00:00:00-04:00,187.58357584297067,192.3452625118136,187.04705023846324,192.16323852539062,32818900,0.0,0.0
2020-06-23 00:00:00-04:00,193.61950037935048,195.4015400419146,192.98716042377694,193.44705200195312,30917400,0.0,0.0
2020-06-24 00:00:00-04:00,193.1500799897967,194.73091552273308,188.3213199494767,189.54766845703125,36740600,0.0,0.0
2020-06-25 00:00:00-04:00,189.50935509783076,192.2015735858974,187.277013654113,191.94288635253906,27803900,0.0,0.0
2020-06-26 00:00:00-04:00,191.35843741947582,191.51173462779505,186.71173091870725,188.1009521484375,54675800,0.0,0.0
2020-06-29 00:00:00-04:00,187.57401661320998,190.20875228029834,185.43748960200932,190.12252807617188,26701600,0.0,0.0
2020-06-30 00:00:00-04:00,189.585968889164,195.83267600358784,189.45183750006225,194.97998046875,34310300,0.0,0.0
2020-07-01 00:00:00-04:00,194.6254908649047,197.70095179944812,193.31291838796136,196.12010192871094,32061200,0.0,0.0
2020-07-02 00:00:00-04:00,197.05902421609218,199.30095546033778,196.40753307482805,197.61471557617188,29315800,0.0,0.0
2020-07-06 00:00:00-04:00,200.07700653145955,202.28060621337312,199.36801796376858,201.86862182617188,31897600,0.0,0.0
2020-07-07 00:00:00-04:00,201.62911724228758,205.67223975704346,199.27223478705542,199.52133178710938,33600700,0.0,0.0
2020-07-08 00:00:00-04:00,201.26508188552464,204.3213631686129,199.9429188633993,203.90939331054688,33600000,0.0,0.0
2020-07-09 00:00:00-04:00,207.2626454654392,207.31055266601678,202.6063491822645,205.33689880371094,33121700,0.0,0.0
2020-07-10 00:00:00-04:00,204.6662498986094,205.1069757258136,202.23271880356717,204.7141571044922,26177600,0.0,0.0
